;;"Autres # Anderes";"Inscription # Inschrift"
;"Autres # Anderes";"Borne # Meilenstein";"Inscription # Inschrift"
;;"Stèle # Stele";"Inscription # Inschrift"
;;"Sarcophage # Sarkophag";"Inscription # Inschrift"
"Os # Knochen";"Ossements humains # Menschenknochen";"Tabletterie # Knochenschnitzerei";
;;"Outils # Werkzeug";
;;"Parure # Schmuck";
;;"Autres # Anderes";
;"Ossements animaux # Tierknochen";"Tabletterie # Knochenschnitzerei";
;;"Outils # Werkzeug";
;;"Parure # Schmuck";
;;"Autres # Anderes";
;"Indéterminé # Unbestimmt";"Tabletterie # Knochenschnitzerei";
;;"Outils # Werkzeug";
;;"Parure # Schmuck";
;;"Autres # Anderes";
"Verre # Glas";"Parure # Schmuck";"Perle # Perle";
;;"Bracelet # Armreifen";
;"Vaisselle # Geschirr";;
;"Vitre # Fensterglas";;
;"Autres # Anderes";;
"Autres # Anderes";"Enduits # Putz";;
