ADEX_ID;DAT_QUELLE;BEZEICHNG;GDE_NAME;GDE_KENN;KOO_REFSYS;X_VON;Y_VON;X_BIS;Y_BIS;Z;GENAUIGK;BEGRUENDUNG;;DAT_FEIN;;;;;;;;;;;;;;;;;LITERATUR;LISTENTEXT
N° de site ADAB;base source;Nom du site;commune principale;code commune;système de projection;X de;Y de;X à;Y à;Z;précision;Etat des connaissances;occupation;datation précise début;datation précise fin;immo niv1;immo niv2;immo niv3;immo niv4;Profondeur des vestiges;immo_exp;mob niv1;mob niv2;mob niv3;mob niv4;mob_exp;prod niv1;prod niv2;prod niv3;prod_exp;Bibliographie;Remarques
BW_102943158;ADABweb;"Köndringen, Schlossberg"", Burg Landeck""";Teningen;8316043;4326;7.8396341409;48.1489378352;7.8408975538;48.1501329705;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat;Fortifié;Château;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102943158;NULL
BW_102918384;ADABweb;"Köndringen, Schlossberg""""";Teningen;8316043;4326;7.8427103321;48.14810479;7.8427103321;48.14810479;0;non;Littérature prospecté;Unique;Vérifier en remarque;Vérifier en remarque;NULL;NULL;NULL;NULL;;NON;Lithique;Silex;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bad. Fundber. 19, 1951, 113. ; Dossier : 102918384";NULL
BW_102909538;ADABweb;"Köndringen, Aspen""""";Teningen;8316043;4326;7.8492480253;48.1583164954;7.8492480253;48.1583164954;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Poinsignon, Ödungen und Wüstungen. ZGO NF 2, 1887, 329f.

Krieger, Topograph. Wörterbuch I (1094) Sp.44.

Der Landkreis Emmendingen II.2 (2001) 720. ; Dossier : 102909538";Il s'agit d'un habitat abandonné
BW_98853477;ADABweb;"Köndringen, Ruckenbühl""""";Teningen;8316043;4326;7.7962783195;48.1339091848;7.7972282267;48.1343964459;0;non;Fouillé;Unique;Indéterminé;Indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;Aménagement hydraulique;NULL;NULL;NON;dossier : 98853477;Drainage
BW_97018451;ADABweb;"Köndringen, Ottenberg""""";Teningen;8316043;4326;7.8101464194;48.1381771622;7.8104189698;48.1382743209;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Funéraire;indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Hoeper, Alamannische Siedlungsgeschichte (2001) 251 und 254f.
Der Landkreis Emmendingen II.2 (2001) 715. ; Dossier : 97018451";NULL
BW_98866840;ADABweb;"Köndringen, Bürgle / Alte Burg""""";Teningen;8316043;4326;7.8127114498;48.1384417628;7.8137449809;48.1391710212;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat;Fortifié;Château;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 98866840;NULL
BW_102951235;ADABweb;"Nimburg, Ziegelbreite""""";Teningen;8316043;4326;7.7819160678;48.0913138419;7.7819160678;48.0913138419;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Funéraire;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11.
Hoeper, Alamann. Siedlungsgeschichte (2001) 281. ; Dossier : 102951235";NULL
BW_97011511;ADABweb;"Nimburg, Steckacker""""";Teningen;8316043;4326;7.7992654663;48.09308387;7.8015166705;48.0945610908;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11.
Fundber. Baden-Württemberg 10, 1985, S. 580, Taf. 71B. ; Dossier : 97011511";NULL
BW_102960551;ADABweb;"Nimburg, Mühlacker""""";Teningen;8316043;4326;7.7868713756;48.0856535959;7.7874172555;48.0862468236;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;Charbon;NULL;NULL;NON;dossier : 102960551;NULL
BW_102949625;ADABweb;"Nimburg, Langacker""""";Teningen;8316043;4326;7.7783791803;48.0903613668;7.7783791803;48.0903613668;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11. ; Dossier : 102949625";NULL
