;;;"Enclos sépulcral  # Grabbezirk"
;"Nécropole tombes plates  # Gräberfeld";"Non renseigné # nicht vorhanden ";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Inhumation  # Leichengrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Incinération  # Brandgrab";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
;;"Les deux  # Beides";"Architecture de bois  # Holzarchitektur"
;;;"Architecture de pierre  # Steinarchitektur"
;;;"Enclos sépulcral  # Grabbezirk"
"Isolé # Einzelfund";"Bloc architectural  # Baustein";"Inscription # Inschrift";
;;"Non-inscrit # Ohne inschrift";
;;"Figuré # Figürlich";
;"Dépôt  # Hortfund";"Inscription # Inschrift";
;;"Non-inscrit # Ohne inschrift";
;;"Figuré # Figürlich";
;"Découverte subaquatique # Gewaesserfund";"Inscription # Inschrift";
;;"Non-inscrit # Ohne inschrift";
;;"Figuré # Figürlich";
;"Statuaire  # Statue";"Inscription # Inschrift";
;;"Non-inscrit # Ohne inschrift";
;;"Figuré # Figürlich";
;"Stèle # Stele";"Inscription # Inschrift";
;;"Non-inscrit # Ohne inschrift";
;;"Figuré # Figürlich";
"Rituel # Kult";"Indéterminé # Unbestimmt";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Fanum # Fanum";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Puits # Brunnen";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Source # Quelle";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Grotte # Höhle";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Dans l’habitat  # Im sieldungskontext";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Isolé # Alleinstehend";"Arme mutilée # Waffen verbogen";
